"","Contributor","Total","PACs","Individuals","Senator"
"422","H&R Block","$5775","$0","$5775","Gary Barve"
"423","J Street","$10700","$1500","$9200","Karen Bass"
"424","Comcast Corp","$8300","$2500","$5800","Karen Bass"
"425","Bad Robot Productions","$6800","$0","$6800","Karen Bass"
"426","University of California","$5962","$0","$5962","Karen Bass"
"427","Amblin Partners","$5800","$0","$5800","Karen Bass"
"428","AMD Homes","$5800","$0","$5800","Karen Bass"
"429","Buchanan, Ingersoll & Rooney","$5800","$0","$5800","Karen Bass"
"430","Children's Research & Education Institute","$5800","$0","$5800","Karen Bass"
"431","Cordoba Corp","$5800","$0","$5800","Karen Bass"
"432","Democracy Engine","$5800","$0","$5800","Karen Bass"
"433","University of Wisconsin","$8867","$0","$8867","Gillian Battino"
"434","Marshfield Clinic","$8683","$0","$8683","Gillian Battino"
"435","ThedaCare Health System","$3050","$0","$3050","Gillian Battino"
"436","Uw Health","$3000","$0","$3000","Gillian Battino"
"437","King Co","$2900","$0","$2900","Gillian Battino"
"438","Marsh Field Medical System","$2900","$0","$2900","Gillian Battino"
"439","Mod Gen","$2900","$0","$2900","Gillian Battino"
"440","Central Wisconsin Anesthesiology","$2500","$0","$2500","Gillian Battino"
"441","California Public Employees' Retirement System","$2200","$0","$2200","Gillian Battino"
"442","Mayo Clinic Health System","$2000","$0","$2000","Gillian Battino"
"443","University of Pennsylvania Health System","$11950","$0","$11950","Kevin Baumlin"
"444","Goldman Sachs","$5800","$0","$5800","Kevin Baumlin"
"445","JPMorgan Chase & Co","$5800","$0","$5800","Kevin Baumlin"
"446","Mount Sinai Health System","$5150","$0","$5150","Kevin Baumlin"
"447","Conklin Enterprises","$2900","$0","$2900","Kevin Baumlin"
"448","Intelligent Communication Systems","$2900","$0","$2900","Kevin Baumlin"
"449","Ubs","$2800","$0","$2800","Kevin Baumlin"
"450","American College of Emergency Physicians","$2500","$2500","$0","Kevin Baumlin"
"451","Royal College Of Surgeons England","$2500","$0","$2500","Kevin Baumlin"
"452","Thanks","$2500","$0","$2500","Kevin Baumlin"
"453","University of North Carolina","$13296","$0","$13296","Jasmine Beach-Ferrara"
"454","DNC PAC","$10000","$10000","$0","Jasmine Beach-Ferrara"
"455","Equality PAC","$10000","$10000","$0","Jasmine Beach-Ferrara"
"456","When Democrats Turn Out PAC","$10000","$10000","$0","Jasmine Beach-Ferrara"
"457","Duke University","$7896","$0","$7896","Jasmine Beach-Ferrara"
"458","L PAC","$6000","$6000","$0","Jasmine Beach-Ferrara"
"459","Sheet Metal, Air, Rail & Transportation Union","$6000","$6000","$0","Jasmine Beach-Ferrara"
"460","State of North Carolina","$5818","$0","$5818","Jasmine Beach-Ferrara"
"461","Dee'S Crafts","$5800","$0","$5800","Jasmine Beach-Ferrara"
"462","Equality Project PAC","$5800","$5800","$0","Jasmine Beach-Ferrara"
"463","Teamsters Union","$5000","$5000","$0","Lydia Bean"
"464","United Food & Commercial Workers Union","$5000","$5000","$0","Lydia Bean"
"465","Parten Operating","$3000","$0","$3000","Lydia Bean"
"466","Reliant","$3000","$0","$3000","Lydia Bean"
"467","American Federation of State/Cnty/Munic Employees","$2900","$0","$2900","Lydia Bean"
"468","Consults In Medical Oncology & Hemot","$2900","$0","$2900","Lydia Bean"
"469","Ghg Corp","$2900","$0","$2900","Lydia Bean"
"470","Group Services Inc","$2900","$0","$2900","Lydia Bean"
"471","Keystone Inc","$2900","$0","$2900","Lydia Bean"
"472","Prism Communications","$2900","$0","$2900","Lydia Bean"
"473","EMILY's List","$290867","$10000","$280867","Cheri Beasley"
"474","University of North Carolina","$181394","$0","$181394","Cheri Beasley"
"475","Duke University","$157235","$0","$157235","Cheri Beasley"
"476","Democracy Engine","$148630","$0","$148630","Cheri Beasley"
"477","J Street","$79657","$0","$79657","Cheri Beasley"
"478","Alphabet Inc","$74289","$0","$74289","Cheri Beasley"
"479","University of California","$66476","$0","$66476","Cheri Beasley"
"480","McGuireWoods LLP","$55159","$1000","$54159","Cheri Beasley"
"481","Wilmerhale Llp","$49650","$0","$49650","Cheri Beasley"
"482","State of North Carolina","$41471","$0","$41471","Cheri Beasley"
"483","Sidley Austin LLP","$3650","$0","$3650","John Beatty"
"484","US Government","$2900","$0","$2900","John Beatty"
"485","Bowman Consulting Group","$2000","$0","$2000","John Beatty"
"486","Roblox Corp","$1800","$0","$1800","John Beatty"
"487","Catholic Distance University","$1500","$0","$1500","John Beatty"
"488","Heights School","$1500","$0","$1500","John Beatty"
"489","Breed Household","$1250","$0","$1250","John Beatty"
"490","McGuireWoods LLP","$1250","$0","$1250","John Beatty"
"491","Catholic University","$1000","$0","$1000","John Beatty"
"492","Continental Pllc","$1000","$0","$1000","John Beatty"
"493","KKR & Co","$66200","$0","$66200","Joyce Beatty"
"494","Blackstone Group","$29000","$0","$29000","Joyce Beatty"
"495","Rock Holdings","$26000","$7500","$18500","Joyce Beatty"
"496","New York Life Insurance","$24300","$7500","$16800","Joyce Beatty"
"497","Discover Financial Services","$19000","$10000","$9000","Joyce Beatty"
"498","Apollo Global Management","$17700","$0","$17700","Joyce Beatty"
"499","Huntington Bancshares","$16000","$12500","$3500","Joyce Beatty"
"500","Nationwide","$13900","$10000","$3900","Joyce Beatty"
"501","Mindset","$12200","$0","$12200","Joyce Beatty"
"502","PNC Financial Services","$12000","$12000","$0","Joyce Beatty"
"503","Station Casinos","$20900","$0","$20900","April Becker"
"504","Meruelo Group","$20000","$0","$20000","April Becker"
"505","Equestrianlife","$14500","$0","$14500","April Becker"
"506","Reliance Telephone","$14500","$0","$14500","April Becker"
"507","Berkshire Hathaway","$13600","$0","$13600","April Becker"
"508","Maggie's List","$11950","$6000","$5950","April Becker"
"509","Fisher Investments","$11600","$0","$11600","April Becker"
"510","Innovative Pain Care Center","$11600","$0","$11600","April Becker"
"511","Marnell Companies","$11600","$0","$11600","April Becker"
"512","Valmore Gp","$11600","$0","$11600","April Becker"
"513","Iverson Strategy & Media","$2900","$0","$2900","Rodney Jason Beebe"
"514","Jm Browning Logging","$2500","$0","$2500","Rodney Jason Beebe"
"515","JM Browning Trucking","$2500","$0","$2500","Rodney Jason Beebe"
"516","Central Oregon Ranch Supply","$500","$0","$500","Rodney Jason Beebe"
"517","Oregon Women for Agriculture","$250","$0","$250","Rodney Jason Beebe"
"518","Bradley Arant Boult & Cummings","$500","$0","$500","Doug Bell"
"519","Avm","$5125","$0","$5125","Jarome Bell"
"520","Kim Klacik for Congress","$4000","$4000","$0","Jarome Bell"
"521","Bampac","$2800","$0","$2800","Jarome Bell"
"522","Black America's PAC","$2800","$2800","$0","Jarome Bell"
"523","Virginia Conservative Leadership Fund","$2500","$2500","$0","Jarome Bell"
"524","Pencor Services","$2150","$0","$2150","Jarome Bell"
"525","Freedom First PAC (Meadows)","$2000","$2000","$0","Jarome Bell"
"526","Good for Congress","$2000","$2000","$0","Jarome Bell"
"527","It Management","$2000","$0","$2000","Jarome Bell"
"528","Jnjn Assoc","$1500","$0","$1500","Jarome Bell"
"529","Tap","$5800","$0","$5800","Leon Benjamin"
"530","Seed To Table","$5600","$0","$5600","Leon Benjamin"
"531","Commonwealth of Virginia","$5507","$0","$5507","Leon Benjamin"
"532","Elbert Guillory's America","$5000","$5000","$0","Leon Benjamin"
"533","Industrial Advisors","$5000","$0","$5000","Leon Benjamin"
"534","Wilkie Real Estate Brokerage","$4150","$0","$4150","Leon Benjamin"
"535","Lenin Peters MD","$2900","$0","$2900","Leon Benjamin"
"536","River Trading","$2900","$0","$2900","Leon Benjamin"
"537","Schockey Companies","$2900","$0","$2900","Leon Benjamin"
"538","Banyan Medical Systems","$2800","$0","$2800","Leon Benjamin"
"539","Democracy Engine","$232232","$0","$232232","Michael Bennet"
"540","American Israel Public Affairs Cmte","$75800","$10000","$65800","Michael Bennet"
"541","University of Colorado","$66087","$0","$66087","Michael Bennet"
"542","Paul, Weiss et al","$54300","$0","$54300","Michael Bennet"
"543","Blackstone Group","$53300","$0","$53300","Michael Bennet"
"544","Votesane PAC","$52500","$0","$52500","Michael Bennet"
"545","DISH Network","$47450","$0","$47450","Michael Bennet"
"546","Arnold & Porter Kaye Scholer","$45925","$5000","$40925","Michael Bennet"
"547","Apollo Global Management","$45500","$0","$45500","Michael Bennet"
"548","Alphabet Inc","$39025","$0","$39025","Michael Bennet"
"549","Pape Group","$11600","$0","$11600","Cliff Bentz"
"550","Eye of the Tiger PAC","$10000","$10000","$0","Cliff Bentz"
"551","Majority Cmte PAC","$10000","$10000","$0","Cliff Bentz"
"552","National Assn of Realtors","$10000","$10000","$0","Cliff Bentz"
"553","National Auto Dealers Assn","$10000","$10000","$0","Cliff Bentz"
"554","National Cattlemen's Beef Assn","$10000","$10000","$0","Cliff Bentz"
"555","National Assn of Broadcasters","$9500","$9000","$500","Cliff Bentz"
"556","American Council of Engineering Cos","$9000","$9000","$0","Cliff Bentz"
"557","Sierra Pacific Industries","$8800","$0","$8800","Cliff Bentz"
"558","Roseburg Forest Products","$8700","$0","$8700","Cliff Bentz"
"559","American Israel Public Affairs Cmte","$33350","$7900","$25450","Ami Bera"
"560","University of California","$23200","$0","$23200","Ami Bera"
"561","Blue Cross/Blue Shield","$14500","$14500","$0","Ami Bera"
"562","Akin, Gump et al","$12250","$4750","$7500","Ami Bera"
"563","Kleiner, Perkins et al","$11600","$0","$11600","Ami Bera"
"564","American College of Cardiology","$10500","$10000","$500","Ami Bera"
"565","American Medical Assn","$10250","$10000","$250","Ami Bera"
"566","American Academy of Orthopaedic Surgeons","$10000","$10000","$0","Ami Bera"
"567","American Assn for Justice","$10000","$10000","$0","Ami Bera"
"568","American Assn of Neurological Surgeons","$10000","$10000","$0","Ami Bera"
"569","K Rowe Investments","$2900","$0","$2900","Matt Berg"
"570","Procopio, Cory et al","$2900","$0","$2900","Matt Berg"
"571","Stoneturn Group","$2900","$0","$2900","Matt Berg"
"572","Sallyport Investments","$2500","$0","$2500","Matt Berg"
"573","Baylor College of Medicine","$2250","$0","$2250","Matt Berg"
"574","Balcor","$2000","$0","$2000","Matt Berg"
"575","Pilko & Assoc","$1500","$0","$1500","Matt Berg"
"576","Freebird Partners Lp","$1400","$0","$1400","Matt Berg"
"577","University of St Thomas","$1400","$0","$1400","Matt Berg"
"578","Rice University","$1250","$0","$1250","Matt Berg"
"579","Art Moran Buick Gmc","$28362","$0","$28362","John Bergman"
"580","Charles Schwab Corp","$22833","$0","$22833","John Bergman"
"581","American Israel Public Affairs Cmte","$21600","$10000","$11600","John Bergman"
"582","McGuireWoods LLP","$15800","$10000","$5800","John Bergman"
"583","Zurich","$13855","$0","$13855","John Bergman"
"584","Total Military Management","$13300","$0","$13300","John Bergman"
"585","Rock Holdings","$12500","$7500","$5000","John Bergman"
"586","Duchossois Group","$11600","$0","$11600","John Bergman"
"587","Immunomedics","$11600","$0","$11600","John Bergman"
"588","Rich Dad Co","$11600","$0","$11600","John Bergman"
"589","Louisiana Motor Coach","$8500","$0","$8500","Claston Bernard"
"590","Gray Insurance Co","$5800","$0","$5800","Claston Bernard"
"591","ISC Constructors","$5800","$0","$5800","Claston Bernard"
"592","Conservative Leadership PAC","$5000","$5000","$0","Claston Bernard"
"593","Elbert Guillory's America","$5000","$5000","$0","Claston Bernard"
"594","Eye of the Tiger PAC","$5000","$5000","$0","Claston Bernard"
"595","GatorPAC","$5000","$5000","$0","Claston Bernard"
"596","Majority Cmte PAC","$5000","$5000","$0","Claston Bernard"
"597","Depcom Power","$3300","$0","$3300","Claston Bernard"
"598","Bollinger Enterprises","$2900","$0","$2900","Claston Bernard"
"599","Votesane PAC","$111500","$0","$111500","Jaime Herrera Beutler"
"600","American Israel Public Affairs Cmte","$40550","$10000","$30550","Jaime Herrera Beutler"
"601","DaVita Inc","$29360","$6000","$23360","Jaime Herrera Beutler"
"602","Blue Cross/Blue Shield","$23150","$19000","$4150","Jaime Herrera Beutler"
"603","Goodman Real Estate (Washington)","$17400","$0","$17400","Jaime Herrera Beutler"
"604","Winning for Women","$17400","$0","$17400","Jaime Herrera Beutler"
"605","Weyerhaeuser Co","$15300","$10000","$5300","Jaime Herrera Beutler"
"606","Fisher Investments","$14850","$0","$14850","Jaime Herrera Beutler"
"607","American Superconductor","$14600","$0","$14600","Jaime Herrera Beutler"
"608","Blackstone Group","$14500","$0","$14500","Jaime Herrera Beutler"
"609","Democracy Engine","$72400","$0","$72400","Don Beyer"
"610","Motley Rice LLC","$23000","$0","$23000","Don Beyer"
"611","McLarty Assoc","$12200","$0","$12200","Don Beyer"
"612","AMS Group","$11600","$0","$11600","Don Beyer"
"613","Executive Affiliates Inc","$11600","$0","$11600","Don Beyer"
"614","Strategic Analysis Inc","$11600","$0","$11600","Don Beyer"
"615","Buchanan, Ingersoll & Rooney","$11500","$0","$11500","Don Beyer"
"616","S&P Global","$11200","$0","$11200","Don Beyer"
"617","Deloitte LLP","$11000","$10000","$1000","Don Beyer"
"618","Welsh, Carson et al","$10900","$0","$10900","Don Beyer"
"619","American Israel Public Affairs Cmte","$23400","$10000","$13400","Stephanie Bice"
"620","Aviation Training Consulting LLC","$17400","$0","$17400","Stephanie Bice"
"621","Ovintiv Inc","$15000","$7500","$7500","Stephanie Bice"
"622","Devon Energy","$12100","$0","$12100","Stephanie Bice"
"623","Affiliated Managers Group","$11600","$0","$11600","Stephanie Bice"
"624","Dimensional Fund Advisors","$11600","$0","$11600","Stephanie Bice"
"625","Fisher Investments","$11600","$0","$11600","Stephanie Bice"
"626","Marcus Foundation","$11600","$0","$11600","Stephanie Bice"
"627","Nucor Corp","$11600","$0","$11600","Stephanie Bice"
"628","Silver Star Construction","$11600","$0","$11600","Stephanie Bice"
"629","House Freedom Fund","$42100","$10000","$32100","Andy Biggs"
"630","American Israel Public Affairs Cmte","$23500","$10000","$13500","Andy Biggs"
"631","Bill Luke Chrysler/Jeep/Dodge","$11600","$0","$11600","Andy Biggs"
"632","21st Century Healthcare","$5800","$0","$5800","Andy Biggs"
"633","Charter One","$5800","$0","$5800","Andy Biggs"
"634","Farnsworth Realty","$5800","$0","$5800","Andy Biggs"
"635","Gray Assoc","$5800","$0","$5800","Andy Biggs"
"636","Pascua Yaqui Tribe","$5800","$0","$5800","Andy Biggs"
"637","Pollack Real Estate","$5800","$0","$5800","Andy Biggs"
"638","Strongmind","$5800","$0","$5800","Andy Biggs"
"639","Igas Usa","$22600","$0","$22600","Gus Bilirakis"
"640","Blue Cross/Blue Shield","$13000","$13000","$0","Gus Bilirakis"
"641","Lincare","$13000","$0","$13000","Gus Bilirakis"
"642","Harborlight Holdings LLC","$11600","$0","$11600","Gus Bilirakis"
"643","Nwtc","$11200","$0","$11200","Gus Bilirakis"
"644","Sawyer Products","$11200","$0","$11200","Gus Bilirakis"
"645","Pfizer Inc","$10400","$10400","$0","Gus Bilirakis"
"646","American Israel Public Affairs Cmte","$10000","$10000","$0","Gus Bilirakis"
"647","American Physical Therapy Assn","$10000","$10000","$0","Gus Bilirakis"
"648","AT&T Inc","$10000","$10000","$0","Gus Bilirakis"
"649","KBR Inc","$250","$0","$250","Mike Billand"
"650","Friends Of Kirby Birgans","$74","$0","$74","Kirby Birgans"
"651","Woodland Mdm","$3000","$0","$3000","Christine Bish"
"652","Aa Music Events","$2900","$0","$2900","Christine Bish"
"653","Devcon Construction","$2900","$0","$2900","Christine Bish"
"654","Hm Marketing","$2900","$0","$2900","Christine Bish"
"655","Morning Star Co","$2900","$0","$2900","Christine Bish"
"656","Spencer Enterprises","$2900","$0","$2900","Christine Bish"
"657","Sub Teacher","$2900","$0","$2900","Christine Bish"
"658","Icon Real","$2000","$0","$2000","Christine Bish"
"659","Curtis Steel Co","$1500","$0","$1500","Christine Bish"
"660","State of California","$1500","$0","$1500","Christine Bish"
"661","Club for Growth","$31150","$0","$31150","Dan Bishop"
"662","House Freedom Fund","$22600","$10000","$12600","Dan Bishop"
"663","Veterans Guardian VA Claim Consulting","$12100","$0","$12100","Dan Bishop"
"664","ALG Senior","$11600","$0","$11600","Dan Bishop"
"665","Dale K Cline CPA","$11600","$0","$11600","Dan Bishop"
"666","Epperson Law Group PLLC","$11600","$0","$11600","Dan Bishop"
"667","Fisher Investments","$11600","$0","$11600","Dan Bishop"
"668","Lightserve Corp","$11600","$0","$11600","Dan Bishop"
"669","Linden Thomas & Co","$11600","$0","$11600","Dan Bishop"
"670","Marcus Foundation","$11600","$0","$11600","Dan Bishop"
"671","AFLAC Inc","$38450","$10000","$28450","Sanford Bishop"
"672","Digidems PAC","$23771","$0","$23771","Sanford Bishop"
"673","Frontline USA","$15800","$7500","$8300","Sanford Bishop"
"674","American Israel Public Affairs Cmte","$14300","$7900","$6400","Sanford Bishop"
"675","Thomas Usaf Group","$14100","$0","$14100","Sanford Bishop"
"676","Thegroup","$13450","$0","$13450","Sanford Bishop"
"677","Home Depot","$12900","$10000","$2900","Sanford Bishop"
"678","Synovus Financial Corp","$11000","$10000","$1000","Sanford Bishop"
"679","USA Rice Federation","$11000","$11000","$0","Sanford Bishop"
"680","Altria Group","$10500","$10000","$500","Sanford Bishop"
"681","Bill Luke Chrysler/Jeep/Dodge","$11600","$0","$11600","Walt Blackman"
"682","Robson Communities","$8800","$0","$8800","Walt Blackman"
"683","Wtw","$6800","$0","$6800","Walt Blackman"
"684","Jdm Partners","$6500","$0","$6500","Walt Blackman"
